user_id,y,R,G,B1,L,A,B,H,S,V
./black_ctc_tailor/ctc_face_dev_16997.png,5,175.414,155.55,143.3,120.665,138.389,143.83,11.1801,93.7165,137.724
./black_ctc_tailor/ctc_face_dev_18325.png,5,187.453,151.467,134.68,151.283,142.497,145.714,10.0664,92.3671,177.263
./black_ctc_tailor/ctc_face_dev_15868.png,5,134.278,121.301,109.882,106.759,133.555,139.344,14.2279,71.4107,114.079
./black_ctc_tailor/ctc_face_dev_18133.jpg,5,179.526,166.958,173.798,155.026,134.692,127.935,121.16,26.5372,158.801
./black_ctc_tailor/ctc_face_dev_17526.png,5,152.978,123.218,102.155,119.647,139.695,147.905,12.223,110.892,140.361
./black_ctc_tailor/ctc_face_dev_17172.png,5,164.194,130.181,119.362,129.021,142.953,141.939,10.1469,90.0864,152.452
./black_ctc_tailor/ctc_face_dev_18512.jpg,5,123.812,112.3,97.3065,88.0769,132.279,141.677,16.7341,91.5437,95.2873
./black_ctc_tailor/ctc_face_dev_19141.jpg,5,168.579,160.801,165.055,139.009,133.986,128.987,128.889,24.3702,140.79
./black_ctc_tailor/ctc_face_dev_16717.png,5,152.842,132.986,123.408,143.565,135.268,137.066,15.5571,54.1139,153.095
./black_ctc_tailor/ctc_face_dev_17573.png,5,180.213,138.66,117.23,129.807,146.65,152.136,9.99717,127.854,162.888
./black_ctc_tailor/ctc_face_dev_18405.jpg,5,176.556,148.352,129.534,147.209,138.152,144.889,11.7272,85.5908,166.021
./black_ctc_tailor/ctc_face_dev_17160.png,5,127.819,120.02,115.337,99.2585,131.87,133.909,21.1399,45.5025,101.543
./black_ctc_tailor/ctc_face_dev_16051.png,5,147.094,119.751,96.3841,121.32,137.574,147.816,13.5201,106.496,138.874
./black_ctc_tailor/ctc_face_dev_16912.png,5,115.042,106.588,102.469,94.1931,132.373,133.299,24.0597,43.3089,96.8196
./black_ctc_tailor/ctc_face_dev_17279.png,5,151.83,120.828,109.899,122.305,141.235,141.131,7.5446,88.912,142.422
./black_ctc_tailor/ctc_face_dev_17283.png,5,149.635,114.326,102.542,122.481,142.396,141.891,7.2125,93.7849,144.887
./black_ctc_tailor/ctc_face_dev_17515.png,5,156.8,125.973,113.367,121.436,141.267,142.658,9.37512,94.8026,142.409
./black_ctc_tailor/ctc_face_dev_18824.png,5,161.028,138.049,121.214,125.891,137.554,144.816,12.338,92.9087,142.273
./black_ctc_tailor/ctc_face_dev_18799.png,5,139.296,118.553,101.865,118.431,135.551,142.707,13.0797,85.5429,130.687
./black_ctc_tailor/ctc_face_dev_19156.png,5,159.547,124.128,111.797,126.635,142.841,142.724,8.13223,94.7514,150.207
./black_ctc_tailor/ctc_face_dev_18108.jpg,5,147.062,118.183,97.7434,119.803,138.616,146.084,12.1453,103.034,138.524
./black_ctc_tailor/ctc_face_dev_18315.png,5,169.105,160.35,158.437,141.524,132.886,132.371,52.0789,32.3775,144.073
./black_ctc_tailor/ctc_face_dev_18508.jpg,5,101.695,90.4593,70.3994,82.3062,130.305,143.455,19.3102,103.767,87.9318
./black_ctc_tailor/ctc_face_dev_16127.png,5,150.535,128.631,126.238,117.618,139.512,134.928,44.3099,63.4548,131.788
./black_ctc_tailor/ctc_face_dev_17277.png,5,156.895,113.999,98.8663,116.692,146.7,146.617,7.58566,118.459,146.769
./black_ctc_tailor/ctc_face_dev_16081.png,5,151.648,125.906,114.3,109.347,140.543,142.632,9.32115,98.9389,128.64
./black_ctc_tailor/ctc_face_dev_18721.png,5,114.217,95.8331,82.9069,87.0054,134.908,140.306,12.8179,89.9581,98.0241
./black_ctc_tailor/ctc_face_dev_15812.png,5,123.62,112.461,102.822,89.5607,133.249,138.386,13.9113,74.8558,96.425
./black_ctc_tailor/ctc_face_dev_19113.jpg,5,135.564,112.615,106.824,106.691,138.831,136.874,11.4618,76.6612,121.12
./black_ctc_tailor/ctc_face_dev_19009.jpg,5,173.83,138.915,128.377,150.198,141.218,139.928,10.8266,72.6215,171.68
./black_ctc_tailor/ctc_face_dev_17538.png,5,152.225,127.685,116.001,102.876,140.062,142.775,9.50941,103.798,122.782
./black_ctc_tailor/ctc_face_dev_16066.png,5,146.261,119.214,104.957,108.54,140.182,144,10.0743,103.639,127.936
./black_ctc_tailor/ctc_face_dev_18382.png,5,168.519,146.824,132.353,136.548,136.48,142.18,11.8678,77.7263,150.789
./black_ctc_tailor/ctc_face_dev_17034.png,5,142.715,115.851,101.867,106.324,139.539,143.27,10.1281,102.264,124.594
./black_ctc_tailor/ctc_face_dev_17339.png,5,150.698,127.343,118.77,128.046,137.74,137.946,9.42237,67.3288,141.624
./black_ctc_tailor/ctc_face_dev_16963.png,5,144.238,118.199,104.562,110.477,139.045,142.715,10.105,96.4985,127.771
./black_ctc_tailor/ctc_face_dev_18816.png,5,156.851,129.901,111.089,123.955,138.763,146.079,12.036,100.756,142.683
./black_ctc_tailor/ctc_face_dev_16327.png,5,189.75,156.595,137.533,152.748,140.773,146.817,10.8262,94.0686,177.108
./black_ctc_tailor/ctc_face_dev_17807.png,5,150.788,121.604,106.705,119.891,140.224,143.74,9.84646,96.7244,139.47
./black_ctc_tailor/ctc_face_dev_18338.png,5,196.025,169.938,166.121,165.936,140.278,135.963,38.6409,56.0764,184.479
./black_ctc_tailor/ctc_face_dev_19192.jpg,5,150.849,115.207,102.625,120.115,142.514,142.496,7.77206,99.7891,143.234
./black_ctc_tailor/ctc_face_dev_17566.png,5,161.892,139.237,128.24,138.952,136.893,139.23,11.54,67.1695,152.344
./black_ctc_tailor/ctc_face_dev_16690.png,5,156.17,134.935,120.913,131.957,135.848,141.064,11.8732,74.1628,144.321
./black_ctc_tailor/ctc_face_dev_17770.png,5,179.889,154.944,147.613,155.526,138.604,137.444,11.8689,58.8002,171.376
./black_ctc_tailor/ctc_face_dev_18559.jpg,5,128.862,115.188,97.5905,97.1666,132.848,143.425,16.4529,94.8663,105.694
./black_ctc_tailor/ctc_face_dev_17281.png,5,152.581,121.213,109.103,124.62,140.84,141.583,8.13227,89.0156,144.548
./black_ctc_tailor/ctc_face_dev_19151.png,5,169.858,138.16,126.196,137.739,141.668,142.212,8.33062,85.5233,159.766
